u,g,r,i,z,Teff,FeH
18.82191,17.85494,17.5233,17.38729,17.35316,6000,-1.5
20.1379,19.12908,19.02782,19.04184,19.10979,7500,-1.5
19.70769,18.66907,18.56157,18.55639,18.56136,7500,-2
22.59879,21.09158,19.44818,17.73083,16.74682,3717,-0.2
18.58504,17.48293,17.06579,16.91451,16.83142,5373,-1.08
24.90858,22.2279,20.63741,18.88579,18.01138,3717,-0.2
16.12823,15.12113,14.81534,14.72198,14.72284,6000,0
18.25013,17.06249,16.6125,16.45005,16.39509,5630,-0.45
18.95729,17.75833,17.39408,17.22012,17.1327,6000,-1.5
17.47356,16.51067,16.19124,16.04983,16.00548,6000,-1.5
17.80315,16.61922,16.17091,16.02812,15.9451,5474,-0.67
23.92619,22.88572,21.16475,18.4511,16.86807,3714,-0.57
25.98316,21.68548,20.9945,18.90176,18.17348,3717,-0.2
17.50237,16.50231,16.08183,15.91243,15.81577,5952,-1.45
19.74058,18.77369,18.54852,18.46758,18.53138,6500,-1.5
23.47084,20.65292,19.00094,16.6872,15.39229,3717,-0.2
19.81084,19.76566,20.13563,20.3768,20.65254,9000,-2.5
20.03022,19.10597,18.88587,18.80973,18.79325,7000,-1
25.48633,22.36132,20.47968,19.42875,18.72892,3717,-0.2
18.26534,15.88963,14.92214,14.57991,14.39972,4528,0.07
20.66347,19.5289,18.9591,18.68603,19.13731,5320,-0.76
18.1894,17.39502,17.17463,17.08912,17.04651,6500,-2.5
24.95921,22.70613,20.88887,19.41479,18.07324,3717,-0.2
18.679,18.70638,19.0445,19.36263,19.61844,9000,-2.5
19.07056,18.60489,18.82339,19.05751,19.27618,7652,0.06
19.3749,18.43242,18.01321,17.87905,17.97687,4752,-0.91
19.24533,18.41944,18.14936,18.07162,18.04522,6500,-2
20.4711,20.13489,20.45885,20.69537,20.84877,7828,0.1
16.19318,15.09768,14.94609,14.93044,14.96282,7000,-1
21.96671,19.56084,18.44323,18.23187,17.75234,4353,-0.47
17.8331,16.73139,16.71656,16.76817,16.83685,8500,-2
18.80834,18.35072,18.47738,18.58439,18.76383,9000,-2.5
18.84018,17.86872,17.50973,17.38989,17.35626,6000,-1
15.65118,14.38269,14.58572,14.75217,14.83824,8500,-2.5
18.97095,17.99661,17.63291,17.51075,17.47193,6000,-1.5
19.95369,18.86583,18.83768,18.85778,18.92974,7500,-2
19.03896,17.92929,17.91996,17.96646,18.01418,7852,-1.67
18.76062,17.69166,17.32538,17.20066,17.13358,5935,-0.54
20.27843,18.31041,17.5282,17.26855,17.0752,4576,-0.39
17.9647,16.70865,16.71223,16.72255,16.787,7118,-0.15
18.37756,17.23364,17.1101,17.05626,17.0541,7500,-1.5
19.35961,18.24104,18.26696,18.34861,18.45897,8500,-1.5
17.12916,16.05343,15.88516,15.85222,15.88971,7000,-1
20.49223,19.21841,19.30551,19.32356,19.40987,8500,-0.5
17.50926,16.97366,16.8159,16.77826,16.84429,6500,-2.5
18.74219,17.83058,17.61656,17.53852,17.54088,6500,-1.5
20.36166,19.40323,19.14431,19.10426,19.12071,6500,-1.5
18.89493,17.81489,17.72155,17.76129,17.78257,7500,-1.5
18.61066,17.62136,17.31408,17.20309,17.21114,6000,-1.5
19.88705,19.88778,20.07627,20.33036,20.62494,5000,0
17.474,16.4771,16.12829,16.00883,15.97839,6000,-1
19.41228,19.18713,19.19134,19.34133,19.58505,4000,0
18.44562,17.22588,17.29817,17.41002,17.46527,8500,-1.5
18.14741,17.09634,16.74201,16.6235,16.59133,5935,-0.54
20.32641,19.41006,19.26976,19.26075,19.30853,7500,-1.5
17.90085,16.98141,16.73232,16.64683,16.64726,6500,-1.5
18.81474,17.7331,17.95811,18.13762,18.2363,8500,-2
17.91635,16.97112,16.79719,16.78105,16.79226,7000,-1.5
20.12925,19.05036,19.00631,19.04033,19.08489,8500,-0.5
19.50111,19.34632,19.65745,19.94909,20.18668,9000,-2.5
17.6647,16.49557,16.61361,16.74602,16.85617,8500,-1.5
18.20708,17.05659,17.21331,17.36159,17.51969,9000,-0.5
21.88582,19.41219,18.06914,17.07594,16.59038,3717,-0.2
19.51725,18.30409,18.24989,18.28651,18.27502,7500,-1.5
18.03364,16.7924,16.79629,16.84292,16.84806,7500,-2.5
18.1268,17.01175,17.14451,17.25584,17.37681,9000,-1
18.3515,17.11313,16.73633,16.59361,16.5519,5625,-0.21
23.81439,23.30587,22.03627,19.36846,17.89883,5966,-0.72
18.62467,17.36865,17.06823,16.98295,16.96327,6000,-1.5
17.42481,16.21079,16.19226,16.23831,16.27831,7500,-1.5
25.18996,23.24734,21.391,18.63424,17.02914,3717,-0.2
19.92155,18.81025,18.79485,18.85996,18.90303,8500,-2
19.94808,18.963,18.90846,18.97337,18.97257,8500,-0.5
19.82959,19.70484,20.09874,20.41717,20.65389,9000,-2.5
19.13467,17.87885,17.36757,17.15761,17.06202,5665,-0.99
19.81154,18.65155,18.79995,18.95033,19.07692,9500,-1.5
19.60362,18.69613,18.42577,18.31043,18.34775,6000,0
20.72556,20.29938,20.4061,19.92033,19.33579,9000,-2.5
22.38121,19.41381,17.48604,17.27391,16.58872,3717,-0.2
18.68018,17.70426,17.47326,17.37416,17.36843,6500,-1.5
20.28075,20.06549,20.37447,20.63348,20.99765,9000,-2.5
17.57911,16.6381,16.36195,16.25419,16.21042,6000,-2
20.46688,19.53189,19.15761,19.00493,18.99938,5000,0
19.22474,18.22124,18.06883,18.06855,18.09768,7000,-2
18.90014,17.85463,17.49367,17.37904,17.37167,5966,-0.72
23.84653,20.97202,19.32802,17.27482,16.09361,3717,-0.2
18.26618,17.31462,17.03666,16.91306,16.88119,6000,-2
19.65668,19.79232,20.11871,20.38941,20.89004,5000,0
20.13659,19.13536,19.01493,18.94437,19.02309,7000,-2
19.41881,18.53826,18.3101,18.20305,18.2011,6500,-2
17.33517,16.19524,15.81671,15.68756,15.63092,6038,-0.08
15.8005,14.61541,15.47631,14.76021,14.74525,8500,-1
17.91539,16.95961,17.6817,16.2333,15.91488,5474,-0.67
18.10402,17.13326,16.89068,16.83398,16.82932,6500,-1
19.80199,18.77384,18.69417,18.70804,18.70413,7500,-1.5
20.01366,19.13586,18.88965,18.81892,18.83139,6000,0
18.45512,17.55157,17.30882,17.2269,17.2047,6500,-2.5
16.52433,14.93926,14.3851,16.7609,14.14241,5262,-0.03
16.88492,15.78886,15.57559,15.54219,15.55054,6500,-1
21.25929,19.36675,18.70455,18.91155,18.19881,4955,-0.23
19.85504,18.62187,18.63391,18.67546,18.63531,7034,-0.78
17.5203,16.3749,15.99039,15.85057,15.80939,5860,-0.26
17.17356,16.17429,16.0278,15.99527,16.01914,7000,-1
18.08531,16.929,16.50389,16.32972,16.24823,5651,-0.32
17.01734,16.00707,15.62065,15.42706,15.34505,6000,-2.5
17.69147,16.53535,16.6334,16.74597,16.84527,9000,-2
18.96901,17.74839,17.25476,17.03529,16.94264,5257,-1.48
19.65064,18.62127,18.53074,18.51062,18.61664,7500,-1.5
20.13864,17.68705,15.9059,16.04596,15.6577,3962,-0.36
17.73267,16.83113,16.5954,16.5055,16.47582,6500,-2
19.94059,18.9471,18.78427,18.80104,18.88927,7500,-1
19.29417,18.19797,18.2136,18.28452,18.37729,8500,-1
20.43997,19.15075,19.2161,19.39521,19.54334,7500,-2.5
18.95786,17.98653,17.65733,17.54236,17.49081,6000,-1.5
17.96453,16.74305,16.7929,16.86905,16.88857,8500,-1
19.40076,18.94888,18.7729,18.73759,18.77277,7000,-2.5
18.04272,17.13815,16.88098,16.82056,16.7819,6500,-2.5
18.6826,17.67566,17.45824,17.37907,17.35776,6500,-1
20.04452,18.83978,18.6709,18.5984,18.53152,7500,-2
20.02278,19.02645,18.86588,18.81161,18.91939,7000,-2
20.01939,19.09172,18.99113,19.03934,19.09426,7500,-2.5
19.81684,18.88592,18.69274,18.58949,18.63106,6500,-2
18.99113,17.80291,17.33478,17.20868,17.12686,6000,0
20.34796,19.21714,19.07092,19.01689,19.00261,5734,-1.56
24.42244,23.10045,21.88996,19.01678,17.51012,3714,-0.57
17.65737,15.99726,15.4049,15.21959,15.13494,5281,-0.12
19.21763,18.28073,18.06736,17.95251,17.96859,6500,-2.5
20.9256,19.41611,18.74322,18.47293,18.33785,5059,-0.16
22.95326,20.20742,18.54301,16.44476,15.29701,3717,-0.2
19.30259,18.35109,18.15529,18.0822,18.10562,7000,-2.5
18.39764,17.21386,16.75888,16.59573,16.52843,5630,-0.45
18.41572,17.437,17.03035,16.89812,16.84497,5704,-0.74
19.02523,18.07072,17.83271,17.74034,17.71727,6162,-2.26
18.10729,17.05039,16.70136,16.58392,16.5556,5790,-0.65
18.40125,17.44469,17.14038,17.0131,16.98619,6000,-1.5
20.04571,19.01279,18.8049,18.73681,18.67507,7134,-0.07
19.76869,18.69256,18.63562,18.64667,18.74557,7500,-1.5
20.40756,19.36493,19.28655,19.28752,19.28186,7500,-2.5
17.98969,16.88745,16.44856,16.25558,16.18999,5790,-0.65
18.73851,17.56532,17.29985,17.02855,16.92702,6038,-0.08
18.66548,17.40166,16.97892,16.85295,16.83559,5762,-0.42
17.63725,16.65544,16.2997,16.14733,16.09544,6000,-2
19.14108,19.63764,20.16442,20.57694,20.91022,8500,-2.5
18.79339,17.83438,17.51755,17.40731,17.33762,6000,-1.5
21.6715,19.08005,17.59384,16.78543,16.3217,3980,-0.04
17.59756,16.41097,15.98536,15.81916,15.77209,5720,-0.54
22.69531,22.32989,22.13825,21.83274,21.69854,6000,-1.5
18.92993,17.81862,17.4717,17.28546,17.19509,5621,-1.02
20.19561,18.98364,18.88089,18.79688,18.83876,6000,0
19.41772,18.17332,17.98425,17.88658,17.86123,6500,-1.5
17.88041,16.72299,16.25821,16.04925,15.96733,5324,-0.75
17.79404,16.70026,16.58819,16.57036,16.61076,7500,-1
21.25908,19.96494,19.57045,19.15113,18.76471,5645,-1.51
20.38345,19.2148,19.01621,18.93554,18.85977,6000,-2.5
18.79637,17.49039,16.94392,16.7009,16.58171,4984,-1.97
18.1144,17.11322,17.03545,17.04619,17.10214,7500,-1.5
20.73649,18.85913,18.01939,17.65881,17.47367,4752,-0.91
18.04175,16.89012,16.49064,16.33643,16.28172,5651,-0.32
17.34703,16.39006,16.26403,16.25729,16.28284,7500,-1
19.17394,18.66796,18.52744,18.47907,18.45608,6500,-2.5
20.23239,19.01722,19.07051,19.11486,19.15146,7500,-2.5
18.97022,18.0763,17.8006,17.6889,17.66987,6000,-1.5
17.62311,16.34144,15.83741,15.62616,15.52933,5659,-0.6
18.78078,17.74285,17.35681,17.20231,17.08759,6000,-1
17.62233,16.67135,16.34919,16.20793,16.17142,6000,-1.5
19.54064,18.37588,18.40803,18.46017,18.51913,8500,-0.5
18.48122,17.55047,17.27346,17.15316,17.15402,6000,-2
18.09055,17.12594,16.83025,16.68609,16.64635,6000,-2
19.73825,19.79833,20.31524,20.61519,20.13812,9640,-0.06
18.92426,17.74343,17.77518,17.8275,17.90643,8500,-1
17.17573,16.0387,15.60637,15.46127,15.3988,5651,-0.32
20.22157,19.33179,19.1595,19.1811,19.16719,7000,-2
20.15803,18.96646,18.78489,18.6964,18.61582,7500,-1.5
16.54492,15.44219,14.99683,14.82111,14.76502,5720,-0.54
18.68226,17.52212,17.132,16.99078,16.95238,5873,-0.45
18.35398,17.93098,18.05724,18.19904,18.44381,7652,0.06
17.55858,15.32449,14.42141,14.52631,13.97417,4528,0.07
18.33768,17.31246,16.93101,16.7985,16.72486,6000,0
20.65644,18.96523,18.29705,18.04441,17.89607,5059,-0.16
17.05552,15.15462,14.46207,14.57833,14.03715,4850,-0.44
19.16981,18.13101,17.98464,17.88616,17.90711,7263,-0.28
18.83347,17.69295,17.2773,17.13594,17.04587,5630,-0.45
20.04116,18.86703,18.40341,18.22856,18.11855,6000,0
20.40737,19.16614,18.87949,18.8072,18.67229,6000,0
19.29339,18.06385,17.56762,17.35338,17.26665,5257,-1.48
18.94727,17.78994,17.38396,17.24338,17.19854,5762,-0.42
19.43291,18.6009,18.66777,18.75788,18.79719,8500,-2.5
21.54093,18.73831,17.45823,16.9081,16.58514,3890,0.28
24.34269,22.10392,20.80011,19.50539,18.83538,3717,-0.2
17.87401,16.73106,16.29333,16.13352,16.06693,5651,-0.32
18.19895,16.96616,16.50838,16.37077,16.30091,5630,-0.45
18.35523,17.15844,16.68115,16.51341,16.45299,5320,-0.76
18.94462,18.51373,18.44355,18.44205,18.54492,8500,-2.5
22.8597,20.38725,18.81235,16.56762,15.3156,3714,-0.57
20.22437,19.06551,18.36819,17.79017,17.38795,3705,0.6
19.36615,18.31833,18.20912,18.22526,18.33396,7500,-1.5
18.92081,17.66552,17.71804,17.78579,17.8171,6500,-2
17.96976,16.97582,16.76051,16.67731,16.7341,7000,-1
21.45946,19.75214,19.17006,18.94762,18.83844,5169,-0.17
18.72718,17.57997,17.51356,17.45415,17.52099,7500,-2.5
19.50514,18.97811,18.82311,18.81694,18.87347,7000,-2.5
18.89517,17.7179,17.67826,17.70537,17.75982,7500,-1.5
20.3523,19.32752,19.11815,19.05891,19.03724,6500,-2
16.6013,15.57514,15.23444,15.10361,15.08057,6000,-1
20.40858,19.2034,19.34421,19.50054,19.58153,8500,-2.5
17.41602,16.28924,15.87454,15.73321,15.68575,5720,-0.54
17.55402,16.55581,16.37738,16.32353,16.34356,7000,-1
19.10955,17.9865,18.19248,18.3894,18.45222,9500,-1.5
23.32391,21.53385,20.18603,19.82559,19.22674,3858,-0.06
19.53578,18.6048,18.40108,18.35302,18.39602,6000,0
25.21482,23.37646,21.43173,18.47547,16.72868,3710,-0.54
18.49833,17.49403,17.33157,17.28345,17.28941,7000,-1.5
17.77428,16.65585,16.69336,16.74937,16.85459,8500,-1.5
18.83854,17.79305,17.42255,17.2969,17.23088,6000,-1
20.16176,18.4378,17.71461,17.35842,17.19664,4955,-0.23
19.32147,18.33259,18.18506,18.12709,18.14036,7000,-2
18.34723,17.27146,17.0887,17.04058,17.06973,7000,-1
20.51987,19.55203,19.36127,19.23304,19.29315,7000,-1
21.36425,18.93974,17.85272,17.46021,17.22806,4382,-0.28
23.60136,20.55336,19.52697,19.38001,18.84656,4353,-0.47
20.22685,19.00493,18.85267,18.73449,18.6829,7500,-2.5
17.18312,16.79082,16.92504,17.06228,17.29681,7652,0.06
20.39693,19.0564,18.92724,18.92169,18.92451,7500,-1
20.4351,19.20694,18.98352,18.88439,18.90129,6061,-1.07
24.45962,22.38025,21.38913,19.08572,17.77075,3717,-0.2
18.94943,17.81542,17.64037,17.55762,17.55829,9000,-2.5
20.38085,19.18605,19.32755,19.50149,19.44639,9640,-0.06
20.56523,18.81012,18.08654,17.65666,17.65707,4955,-0.23
17.3731,16.43535,16.11848,15.98503,15.96,6000,-2
19.24249,19.35431,19.65837,19.95986,20.13799,5684,-2.51
20.96505,20.36793,20.64721,20.96413,21.69272,9000,-2.5
19.82731,18.7566,18.72965,18.73442,18.80002,8500,-2
18.44934,17.37043,17.32402,17.34079,17.40912,7500,-1.5
19.0065,18.59495,18.2823,18.23277,18.33944,4000,0
16.55362,15.33691,14.86893,14.68466,14.6142,5476,-0.32
19.49081,18.48299,18.36477,18.32066,18.37333,7500,-1.5
17.68336,17.23962,17.13441,17.1152,17.18818,7000,-2.5
15.62121,14.60897,14.43487,14.40072,14.45437,7000,-1
22.19409,20.34515,19.57723,19.26995,19.10396,4576,-0.39
19.8006,18.31615,18.13221,18.0604,18.07895,6162,-2.26
19.7226,18.01526,17.74782,17.4817,17.44327,5790,-0.65
21.43349,18.96178,17.66862,16.48303,15.89982,3717,-0.2
21.49826,18.62246,17.22141,16.57613,15.94481,3980,-0.04
17.37073,16.3829,15.80287,15.70182,15.47991,5748,-0.42
18.18068,17.28596,17.01071,16.93584,16.92726,6000,0
17.73281,16.72213,16.32467,16.10622,15.91971,5860,-0.26
18.16379,17.15495,16.71074,16.43585,16.20527,5748,-0.42
17.8552,16.68947,16.07681,15.78638,15.51808,5000,0
20.519,18.21004,17.15605,16.57279,16.19066,4382,-0.28
20.08332,18.83582,18.78596,18.74901,18.80861,8500,-0.5
18.15866,17.21119,16.99773,16.94738,16.92892,7134,-0.07
21.13055,18.64181,17.45165,16.45945,15.84242,3690,0.05
17.50026,16.70191,16.27915,16.1204,15.90042,6000,-1.5
18.30695,17.20673,16.79316,16.5725,16.3738,5720,-0.54
19.09249,17.18096,16.45876,16.1816,16.01656,4955,-0.23
18.83681,17.87778,17.62745,17.37776,17.26884,6500,-1
19.04916,16.881,16.0105,15.76395,15.52504,4528,0.07
19.47722,17.74906,17.11098,16.75935,16.551,4955,-0.23
19.12198,17.90152,17.73858,17.67812,17.71115,6000,0
18.66634,18.12247,18.1401,17.83794,17.3283,9000,-2.5
19.94577,18.76656,18.79495,18.88022,18.93473,8500,-0.5
17.80278,17.27164,17.33793,17.2984,17.13216,9000,-2.5
16.26517,15.12593,14.75669,15.00798,14.59624,5873,-0.45
19.6568,18.64376,18.23927,18.09522,18.04805,5830,-0.85
18.76846,17.807,17.65519,17.58751,17.60316,7000,-2
18.27421,17.05756,17.29381,17.42935,17.52337,8500,-1.5
20.08306,19.05054,18.9584,18.96997,19.05811,7500,-1
18.04257,16.96109,16.56489,16.42676,16.37021,5835,-0.49
24.48731,24.90556,23.59055,20.48247,18.90465,3980,-0.04
18.83208,17.71637,17.32203,17.19495,17.1536,5720,-0.54
25.4817,23.34813,21.75746,18.98855,17.31863,3717,-0.2
18.46235,17.4497,17.04968,16.88833,16.84466,5665,-0.99
18.04953,16.98169,16.56269,16.41943,16.32831,5720,-0.54
26.02283,23.67438,22.32219,19.64779,18.12744,3717,-0.2
24.00611,21.40565,19.56898,18.41125,17.73604,3980,-0.04
19.36224,18.31069,18.17769,18.17471,18.21799,8500,-1
17.97646,16.79464,16.36704,16.23498,16.17716,5748,-0.42
18.64111,18.20719,18.26835,18.3869,18.52275,8500,-2.5
18.54442,17.46916,17.15173,17.00807,16.9871,5966,-0.72
24.40164,20.89341,19.50476,18.93587,18.58562,3890,0.28
18.92118,18.01719,17.78013,17.67407,17.64883,6500,-2.5
19.10556,17.97711,18.05507,18.10379,18.22585,8500,-2.5
17.95349,16.82232,17.0963,17.27788,17.39316,8554,0.1
19.60365,17.87142,16.45321,16.94988,16.68578,5059,-0.16
17.72507,16.933,17.58009,16.5744,16.43494,7000,-2.5
19.73141,18.71157,18.58968,18.56937,18.61491,7000,-1
19.12278,18.01772,17.61234,17.47283,17.4306,5621,-1.02
23.08737,20.56553,19.09934,16.41534,14.98962,3717,-0.2
17.61452,16.54281,16.19766,16.06953,16.04124,6000,-1
18.26851,17.06309,16.94489,16.91148,16.94245,7000,-1.5
17.52931,16.44299,16.07379,15.93406,15.88521,5373,-1.08
18.98104,17.97402,17.64947,17.519,17.49702,6000,-1
20.79418,19.37243,18.84953,18.8666,18.56579,5073,-1.44
19.0728,17.84782,17.37229,17.20494,17.13125,5630,-0.45
19.61023,18.5991,18.53401,18.5343,18.65838,7500,-2
19.12321,18.00012,17.57241,17.38683,17.30118,5830,-0.85
24.70496,22.40895,20.94894,19.92639,19.27649,3737,-0.61
20.1847,19.01657,18.74717,18.69975,18.64028,6500,-1.5
18.36425,17.11545,16.63103,16.4772,16.38603,5320,-0.76
24.34287,20.90229,19.24344,17.8915,17.15589,3717,-0.2
17.33373,16.33308,15.98419,15.8672,15.83278,6000,-1
19.3567,18.39074,18.26099,18.24724,18.24769,7500,-1.5
22.60302,20.63311,19.37286,19.17489,19.0219,5000,0
16.74472,15.61768,15.14839,14.94726,14.84599,6000,0
20.09911,18.99551,18.71389,18.41455,18.35117,6000,-1.5
17.96407,16.50346,15.96164,15.75595,15.63333,5221,-0.24
19.58762,17.82529,17.26753,16.89754,16.73809,5169,-0.17
18.78729,17.8423,17.45216,17.27934,17.23973,6000,-1
18.91155,17.98308,17.79381,17.72878,17.70939,6500,-2
18.98182,17.84134,17.4316,17.25034,17.19117,5659,-0.6
20.59777,19.17187,19.27853,19.32045,19.48049,7500,-2
17.49084,17.08177,17.25956,17.44823,17.69668,7652,0.06
20.08502,19.12363,18.98477,18.97166,19.02641,7000,-1
19.02754,18.72028,18.79811,18.94684,19.01869,8500,-2.5
18.94674,17.89775,17.49499,17.37997,17.29029,6000,-0.5
19.9823,19.70679,20.06691,20.35262,20.82571,10046,0.15
18.54452,17.33673,16.8413,16.62534,16.52505,5257,-1.48
20.78936,18.27304,16.93953,16.7725,16.22206,4775,-0.12
23.62293,24.25761,22.30973,19.79684,18.14721,3690,0.05
25.54217,22.45241,20.71709,18.10061,16.58961,3717,-0.2
20.95054,18.25921,16.60979,16.08677,15.81086,4000,0
18.61887,17.66458,17.35265,17.22541,17.19544,6500,-1.5
17.12356,15.89173,16.05015,16.18847,16.27298,9500,-1
19.21556,18.23528,18.1175,18.0548,18.17689,7500,-2
16.77893,16.34833,16.53637,16.7187,16.95675,7652,0.06
19.01135,17.71882,17.22253,17.00442,16.89698,5506,-0.5
20.05704,18.98308,18.98017,19.03198,19.10094,8500,-0.5
17.68811,16.41673,16.40149,16.43703,16.47826,7500,-2
20.0948,18.90032,18.89439,18.95136,19.00939,8500,-0.5
19.40449,18.45142,18.23395,18.13784,18.17612,6500,-2.5
20.49699,19.33685,19.09216,18.99171,18.98556,7000,-1
18.59916,17.62686,17.47804,17.44435,17.48852,7000,-1.5
20.77146,19.66304,19.92533,20.122,20.21493,9379,0.03
20.44843,19.04557,18.56104,18.4073,18.31997,5467,-0.4
18.96287,18.04177,18.32367,18.50766,18.65639,9500,-2
19.02979,18.0895,17.76269,17.62774,17.56006,6000,-2
20.35902,19.08113,19.14141,19.21061,19.17887,7500,-2.5
18.19064,17.08911,17.11589,17.1635,17.23279,8500,-0.5
16.37417,15.22333,15.42664,15.60101,15.69483,9500,-1.5
20.14878,18.90339,18.88996,18.79355,18.79345,7500,-2
18.82505,17.6112,17.76906,17.90757,17.97194,9500,-1
15.65154,15.70653,15.97689,16.18581,16.42148,9899,0.09
22.83028,21.95217,20.57192,19.8426,19.3604,3969,0.16
22.02443,19.79301,18.82932,18.47478,18.31323,4576,-0.39
23.38941,21.48427,20.03763,19.68966,18.89697,3858,-0.06
20.51957,19.29423,19.02879,18.90663,18.88589,6500,-1.5
18.64607,17.78714,17.52763,17.43009,17.42604,6500,-2.5
18.015,16.80382,16.37263,16.23064,16.20115,5661,-0.37
19.68447,19.43737,19.69689,19.92899,20.88248,9000,-2.5
20.24592,18.98435,18.78818,18.70754,18.70875,6500,-1.5
20.38728,19.06676,19.11357,19.19592,19.35273,9379,0.03
18.02892,17.06476,16.73472,16.61642,16.57814,6000,-1.5
20.66105,18.93364,18.40572,17.98798,17.75747,5059,-0.16
21.55395,19.41821,18.44728,18.16663,17.97217,4576,-0.39
20.16916,19.17208,18.97392,18.9048,18.97358,7000,-1.5
20.35525,19.22146,18.98123,18.89774,18.8875,6500,-1.5
19.64766,18.67675,18.55528,18.55363,18.60906,7500,-2
20.10731,19.06582,18.99931,19.02854,19.03599,8500,-1.5
20.4146,19.1965,18.92423,18.86078,18.78144,7000,-1.5
19.99289,18.80459,18.63725,18.57727,18.6532,6500,-2
18.18973,17.00181,16.55229,16.35176,16.29432,5324,-0.75
17.36284,16.3485,16.03593,15.88948,15.83483,7235,-0.36
20.04115,18.70934,18.6171,18.55538,18.55113,5880,-2.35
19.20765,18.73173,18.84302,18.98353,19.15128,9000,-2.5
18.10206,16.62904,16.03812,15.81452,15.73502,5221,-0.24
18.39378,17.24038,16.81629,16.66055,16.60597,5373,-1.08
17.11285,15.81507,15.87217,15.92451,15.98249,8500,-1.5
17.61922,16.47307,16.00606,15.81153,15.72308,5651,-0.32
19.33534,17.84996,17.29977,17.06497,16.94221,5285,-0.71
20.04232,18.00631,17.14992,16.81256,16.62988,4576,-0.39
19.13199,17.03742,16.0681,15.7164,15.3649,4382,-0.28
19.60946,18.19925,17.65695,17.42078,17.3393,5285,-0.71
18.10979,16.99514,16.53606,16.33165,16.27057,5704,-0.74
20.24818,18.30073,17.44898,17.07649,16.8665,4576,-0.39
19.07038,18.08431,17.75416,17.59261,17.54465,6000,-1.5
19.35884,17.57784,16.89484,16.72307,16.55268,5169,-0.17
17.24948,15.99296,15.51927,15.35118,15.29425,5476,-0.32
18.17146,16.34389,15.66006,15.40578,15.31371,5169,-0.17
20.2788,17.55952,16.11367,15.25852,14.81556,3980,-0.04
18.91846,17.95777,17.71039,17.59573,17.54981,6500,-2
18.07726,16.78459,16.28764,16.08689,15.9198,5285,-0.71
21.18753,18.75703,17.66363,17.23846,16.99339,4382,-0.28
17.68456,16.53477,16.0518,15.81936,15.72247,6000,0
22.30334,19.88136,19.05944,18.88755,18.55687,4528,0.07
18.71281,17.6039,17.25085,17.12343,17.08276,5935,-0.54
18.79844,17.61451,17.35555,17.2755,17.22589,6500,-1.5
18.53576,17.25342,17.41915,17.56659,17.6511,8500,-1.5
21.49655,19.27652,18.11299,17.63111,17.3677,4382,-0.28
17.262,16.14839,15.70567,15.5601,15.49644,5651,-0.32
22.5168,19.86943,18.80936,18.42988,18.11434,4382,-0.28
19.50011,18.50886,18.33836,18.29647,18.31711,6500,-2
18.77272,18.79329,19.20589,19.47298,19.73264,9000,-2.5
18.56569,17.30737,16.8743,16.72848,16.665,5630,-0.45
20.43795,19.47822,19.29309,19.22161,19.25214,6597,0
17.58608,16.30043,16.43203,16.53785,16.59253,8500,-1.5
18.70781,17.81871,17.53736,17.40917,17.36599,6500,-2.5
20.29858,19.29511,19.17268,19.19366,19.26997,7000,-2
18.74307,17.79867,17.49358,17.38617,17.37844,5961,-1.16
16.78847,15.62112,15.76536,15.89382,16.00243,8500,-1.5
20.0282,18.91945,18.92869,19.06041,19.12143,8637,-0.62
22.19246,20.65188,20.10978,19.87717,19.74997,5639,-0.36
16.60138,15.34941,15.43042,15.5199,15.57363,8500,-1.5
19.35824,18.41113,18.23923,18.21804,18.25881,7000,-1.5
16.31482,15.20286,15.18274,15.21603,15.28009,8500,-0.5
18.44717,17.4883,17.21352,17.10561,17.10113,6000,-1.5
17.75348,16.50917,16.69314,16.8345,16.94112,8500,-2
17.65878,16.59528,16.56591,16.65592,16.71387,8500,-2
18.62335,17.64771,17.29063,17.15198,17.11936,6000,-1
19.61673,18.42788,18.46746,18.4709,18.44156,6500,-1
17.47434,16.27295,16.46242,16.61809,16.70939,8500,-2.5
20.06144,19.00611,18.93932,18.9518,18.9966,7500,-1
21.6732,19.6758,18.89934,18.65272,18.54247,4727,0.05
18.58253,17.76092,17.51075,17.68068,17.38359,6500,-2.5
20.59019,19.25916,19.47072,19.67352,19.82644,9500,-2
18.37429,17.13646,17.36316,17.5268,17.63482,7852,-1.67
20.5499,19.43064,19.51074,19.57095,19.64182,7354,-0.08
17.1903,15.92763,15.47807,15.30211,15.21828,5476,-0.32
18.26242,17.10448,16.9093,16.86198,16.90508,6000,0
17.42283,16.29801,15.85791,15.67064,15.58344,5665,-0.99
17.94064,16.76863,16.85089,16.93025,17.02354,9000,-2
17.57141,16.52481,16.18738,16.06454,16.02996,6000,-1
20.15881,18.88882,18.96103,19.07885,19.12767,9500,-1
25.11921,21.43523,19.48841,18.24193,17.51654,3980,-0.04
19.69512,19.21984,19.42002,19.67989,19.91081,9000,-2.5
19.88345,18.70391,18.8821,19.06963,19.19809,9500,-1.5
18.22908,17.19225,16.84318,16.70768,16.65379,6000,-1.5
16.52434,15.53464,15.36927,15.32968,15.35854,7000,-1
18.47978,18.05801,18.17701,18.31759,18.50168,9000,-2.5
24.66692,25.73863,22.95884,20.77895,18.54281,7368,-0.25
19.64872,18.44201,18.58785,18.67935,18.83142,9000,-2
16.04225,14.93772,14.58134,14.4675,14.44013,5935,-0.54
18.4182,17.24102,16.8164,16.64818,16.56969,5651,-0.32
