u,g,r,i,z,Teff,FeH
17.98418,16.77784,16.69854,16.6956,16.73523,7500,-1.5
23.1892,20.37305,19.11619,18.76556,18.51064,4382,-0.28
17.28922,16.07422,16.08768,16.15649,16.22438,8500,-0.5
19.40371,18.44971,18.26587,18.25559,18.24529,6500,-2
19.9398,18.82285,18.75998,18.77128,18.80406,7500,-1
19.04274,17.66852,17.08425,16.84411,16.7345,5073,-1.44
22.19463,19.5555,18.25059,17.72033,17.43283,3962,-0.36
22.99245,20.81986,19.44851,18.33033,17.82499,3717,-0.2
18.61006,17.57731,17.47987,17.49835,17.53536,7500,-1
26.02761,24.40718,22.58398,20.06495,18.59548,3717,-0.2
15.9895,14.8441,14.9067,15.00553,15.1082,8500,-1
19.57255,18.59834,18.47911,18.45792,18.60459,7500,-1
18.19261,16.92154,16.45293,16.25213,16.18481,5320,-0.76
13.93572,18.17125,14.6687,15.02984,15.54116,13582,-0.08
17.43203,16.13472,16.31633,16.47129,16.55764,8500,-2
23.71355,21.23055,19.81027,18.51825,17.82866,3717,-0.2
17.76389,16.64303,16.26626,16.13085,16.10483,5913,-0.01
18.64998,17.43817,17.42126,17.42764,17.44945,7500,-2
17.24667,16.28888,16.17485,16.15465,16.18725,7000,-2
18.56201,17.35259,17.2698,17.25536,17.26768,7500,-1.5
18.04801,16.85017,16.4401,16.30494,16.27435,5373,-1.08
18.49077,17.20073,16.72152,16.51433,16.44696,5474,-0.67
20.77154,18.20747,17.10442,16.6898,16.47256,4382,-0.28
21.04387,18.46007,17.24048,16.7522,16.50089,3962,-0.36
24.71451,21.5652,20.10904,18.75782,18.08202,3717,-0.2
20.75373,18.24672,17.0525,16.59445,16.35971,4382,-0.28
18.53055,17.35433,17.09452,16.98017,16.94563,7000,-1.5
26.44233,24.40418,23.02154,20.40009,18.81475,6000,-0.5
18.43688,17.21733,17.4209,17.58131,17.64349,8500,-2.5
18.91158,17.96549,17.84391,17.83449,17.84555,7000,-1.5
21.89445,19.80111,18.1075,17.5056,17.14044,3962,-0.36
19.98023,19.01503,18.49778,18.57577,18.49931,6500,-1.5
23.53773,21.70916,19.97484,19.41985,19.22782,4000,0
17.36759,16.32262,15.92653,15.78974,15.7319,5873,-0.45
18.31656,17.83927,17.69376,17.35058,16.6907,7500,-2.5
19.34998,18.90404,18.92402,19.05194,19.22971,8500,-2.5
20.10137,19.07438,18.67575,18.59837,18.51201,6000,0
19.90661,18.83911,18.72021,18.70977,18.69364,7500,-1.5
17.37297,16.26745,15.86104,15.69494,15.62644,5613,-0.94
19.81452,18.75838,18.26941,18.05459,17.94396,5734,-1.56
25.68465,22.34975,20.8459,18.96122,17.93225,3717,-0.2
21.92694,18.99037,17.55845,16.47739,15.8161,3717,-0.2
18.40041,17.36982,17.2542,17.22044,17.26286,7500,-1
18.97266,17.84796,17.42264,17.26585,17.20143,5373,-1.08
19.63906,19.4021,19.45169,18.8509,18.25064,9000,-2.5
20.13153,19.06322,18.72238,18.63262,18.63717,6500,-1.5
21.96931,19.23131,17.85496,17.19927,16.78599,3858,-0.06
25.38618,22.17906,20.28991,18.84572,17.78498,6000,0
20.29905,19.21302,19.1208,19.08058,19.10691,7500,-2.5
19.14341,17.80645,17.91919,18.01875,18.09672,9500,-0.5
19.45144,18.10209,17.56396,17.34624,17.27157,5320,-0.76
18.00726,16.90108,16.49534,16.33475,16.29753,5720,-0.54
20.49191,19.54465,19.29412,19.16421,19.17895,6500,-2
17.83309,16.64325,16.24429,16.07932,16.05683,5720,-0.54
25.27787,21.87325,21.04067,18.75398,17.56506,3717,-0.2
18.06284,17.50964,17.7158,17.90547,18.09019,9000,-2.5
18.56139,16.76052,16.06365,15.81395,15.68069,5059,-0.16
19.70656,19.22921,19.41098,19.61098,19.92758,9000,-2.5
18.63258,17.59472,17.15296,16.96552,16.87494,5895,-1.05
17.89985,16.78002,16.63286,16.61409,16.62412,7000,-1
17.99722,16.98947,16.65293,16.52785,16.47898,6000,-1.5
19.71392,18.72982,18.55267,18.51437,18.54326,7500,-1.5
18.31186,16.04982,15.18272,14.8774,14.7127,4775,-0.12
20.7352,18.79215,18.09319,17.84423,17.71205,5139,-0.07
21.26699,19.05784,18.16068,17.82898,17.66251,4576,-0.39
18.98361,17.83656,17.32091,17.11787,17.00929,5324,-0.75
20.38696,20.25462,20.56095,20.76531,21.45187,9000,-2.5
22.20328,19.97895,18.97062,18.60856,18.39385,4353,-0.47
18.94074,17.81758,17.45993,17.33272,17.26237,5790,-0.65
23.26265,20.37652,18.91472,18.24952,17.83169,3858,-0.06
21.12969,18.57925,16.99156,15.75878,15.09814,3717,-0.2
20.16876,17.70759,16.67964,16.32717,16.12477,4528,0.07
18.5114,17.40524,17.03304,16.88972,16.83327,6000,-1
17.49692,16.21601,16.35737,16.48298,16.56253,8500,-2
23.45021,19.57514,18.21163,17.6463,17.30601,3890,0.28
17.88416,16.37233,15.80435,15.60628,15.51696,5377,-0.35
20.0859,19.09919,18.95196,18.91737,18.9343,7500,-1
18.54899,17.12715,16.58827,16.39205,16.31362,5285,-0.71
16.77784,15.55519,15.09145,14.93055,14.8841,5630,-0.45
17.78202,16.45538,15.96133,15.79287,15.70134,5630,-0.45
21.18728,19.51397,18.7553,18.44509,18.25513,5059,-0.16
19.7208,18.00226,17.34469,17.11526,17.00649,5221,-0.24
18.93979,17.86055,17.44615,17.30198,17.23167,5873,-0.45
20.2414,19.07542,18.608,18.42896,18.29883,5476,-0.32
21.26486,20.23667,19.75811,19.53955,19.48022,5443,-0.3
22.55492,20.44441,19.97863,19.78304,19.63512,6000,0
19.16742,18.25288,17.98792,17.89307,17.88557,6500,-2.5
21.90165,19.34557,18.40081,18.03495,17.83386,4576,-0.39
15.88399,14.74523,14.32863,14.58434,14.15162,5373,-1.08
19.94362,18.69478,18.3095,18.11411,18.12915,5630,-0.45
20.72725,18.02181,16.68583,16.1302,15.84262,3890,0.28
18.66191,16.90997,16.22045,15.9705,15.85876,5059,-0.16
20.05003,19.07855,18.77011,18.67432,18.65057,6500,-1.5
21.51124,18.8453,17.51153,16.95423,16.65601,3962,-0.36
22.22461,19.94759,18.93781,18.55627,18.35812,4382,-0.28
21.40395,19.45498,18.63198,18.33191,18.11848,4576,-0.39
21.24976,19.16389,18.26718,17.95881,17.80773,4576,-0.39
22.54848,19.87625,18.58168,18.02672,17.69134,3962,-0.36
17.88797,16.82401,16.489,16.36282,16.357,6000,-1
19.96125,17.61316,16.61442,16.2233,16.03193,4382,-0.28
19.13027,18.19643,17.9687,17.905,17.85255,6500,-2.5
19.68064,19.49773,19.62052,19.81544,20.05541,4600,-0.54
17.46177,16.41245,16.12708,16.01488,16.00724,6000,-2
18.86448,17.57043,17.05314,16.84126,16.72406,5320,-0.76
19.86329,18.91183,18.581,18.4728,18.44683,6000,-2
18.40986,17.26574,16.85822,16.70353,16.62693,5373,-1.08
18.74381,16.9147,16.19337,15.91492,15.77366,4955,-0.23
19.91534,18.7374,18.85874,18.9845,19.16809,8500,-1.5
