u,g,r,i,z,Teff
19.0891,18.14591,17.77624,17.61913,17.53745,6000
21.72705,19.17068,17.9038,17.25625,16.88411,3858
20.17794,18.54247,17.90043,17.68385,17.56557,5059
21.07858,18.96178,18.0184,17.70539,17.50336,4576
21.69952,19.41943,18.2683,17.82907,17.55981,4382
21.99682,19.4513,18.1294,17.55559,17.19785,3962
19.58951,18.19185,17.66067,17.46815,17.37383,5285
19.63383,18.46777,17.98373,17.78461,17.67302,5320
23.08987,19.85361,18.42458,17.58827,17.11918,3705
20.73853,18.94786,18.27891,18.0205,17.87707,5059
20.29936,18.91135,18.34779,18.11537,18.0119,5659
22.08041,19.57112,18.25968,17.6268,17.26313,3858
21.9953,19.4406,18.29511,17.82315,17.57771,4382
22.86517,19.87565,18.44992,17.73249,17.30449,3858
21.19325,19.1242,18.15616,17.77701,17.54778,4576
21.55618,18.94827,17.66177,17.07157,16.73086,3962
20.65737,19.08976,18.55851,18.38163,18.33785,6188
21.53779,18.96061,17.99747,17.66878,17.49722,4528
19.4562,18.22948,17.84376,17.69407,17.67359,5736
22.09846,19.51895,18.2437,17.61456,17.25994,3890
22.28634,19.6766,18.43243,17.47,16.95643,3717
22.00687,19.60703,18.54475,18.132,17.85334,4382
20.67849,19.06382,18.40579,18.13172,17.96991,5059
21.80063,19.10698,17.73651,16.69149,16.17244,3717
22.20139,19.58677,18.21786,17.6398,17.27058,3962
22.44146,19.88807,18.45279,17.52853,17.00016,3717
22.52744,19.79863,18.42777,17.71691,17.3295,3858
22.82333,19.98285,18.54245,17.06252,16.25473,3717
21.97009,19.40761,18.06178,16.93204,16.32435,3717
21.68943,19.28525,18.06984,17.5825,17.29964,4382
19.16445,18.18722,17.91986,17.81393,17.77751,6500
22.08611,19.37881,18.0516,17.41637,17.09031,3858
19.93315,18.63943,18.08589,17.86988,17.78134,5467
22.11998,19.66286,18.43439,17.89381,17.55634,3962
23.17452,19.45208,18.08229,17.22428,16.71882,3980
20.02975,18.79827,18.25912,18.03754,17.91351,5047
22.00636,19.71406,18.32073,17.35998,16.86577,3717
21.9083,19.50793,18.08387,17.33417,16.91174,3858
21.10387,20.26708,19.87783,19.73113,19.55426,5734
20.49282,18.95678,18.38618,18.24961,18.19213,5285
17.68393,16.67525,16.3323,16.19307,16.15449,5645
24.27924,23.60273,21.81319,19.52284,17.991,3717
23.55676,20.90792,19.55787,19.02473,18.64297,3962
20.30815,18.69472,18.09052,17.89968,17.80517,5169
22.31783,19.68093,18.27637,17.53829,17.10662,3980
22.33842,19.56429,18.23878,17.42538,16.96752,3705
22.21783,19.42765,18.0929,17.5102,17.20954,3962
21.52791,19.00658,17.90993,17.49682,17.26825,4382
21.37393,19.16655,18.17874,17.8084,17.58224,4576
20.86115,19.03308,18.19958,17.88885,17.69897,4576
22.28082,19.71843,18.23541,16.8635,16.12871,3717
21.85924,19.24309,17.75619,16.50682,15.84668,3717
19.12415,18.0793,17.80341,17.71744,17.689,6500
22.07565,19.72371,18.30694,17.23984,16.67095,3717
22.15266,19.76279,18.29994,17.12631,16.48218,3717
21.89132,19.59034,18.18181,17.51617,17.13797,3858
19.18275,18.13429,17.74688,17.59193,17.50665,5704
21.34431,19.11407,17.81225,17.20262,16.83126,3962
21.86772,19.13682,17.92515,17.42486,17.10509,3962
21.39573,19.03959,17.98332,17.6102,17.38804,4382
21.55808,19.42463,18.13217,17.40643,17.00385,3858
22.17693,19.79836,18.56031,17.99925,17.66586,3962
21.71796,19.42525,18.20405,17.64378,17.32475,3962
21.67457,19.32401,18.13144,17.50124,17.16093,3962
22.13708,19.43499,18.02636,16.86285,16.23586,3717
22.13666,19.7687,18.34974,17.33856,16.81132,3717
21.84935,19.493,18.25741,17.76213,17.49055,4382
23.00621,19.9224,18.53,17.84347,17.44284,3858
22.28246,19.4403,18.019,16.82398,16.17617,3717
19.49003,18.58776,18.31323,18.20954,18.21164,6500
22.2359,19.86955,18.52562,17.77614,17.30277,3705
20.64072,19.15542,18.50706,18.24312,18.143,5059
21.79919,19.42707,18.01787,17.18947,16.72241,3980
20.54291,18.55168,17.72881,17.4359,17.21777,4576
22.81361,19.85163,18.45843,17.60096,17.11731,3705
22.08212,19.52716,18.121,17.42956,17.00701,3858
21.71496,19.04737,17.77265,17.11817,16.71817,3858
21.85612,19.27046,17.96996,17.29323,16.96153,3858
22.56659,19.6326,18.2533,17.49552,17.05911,3980
20.02375,18.43928,17.79349,17.55066,17.39067,5221
20.40352,18.65263,17.96197,17.70666,17.57634,4955
19.96646,18.77781,18.26035,18.04676,17.89606,5467
21.41142,19.21631,18.30418,17.97597,17.75548,4576
20.64014,19.05623,18.4465,18.1805,18.06434,5059
22.12378,19.68453,18.21427,17.26207,16.75369,3717
22.24184,19.66101,18.19925,16.57288,15.67234,3714
22.01397,19.87598,18.51224,17.85386,17.47209,3858
19.27066,18.31785,18.01852,17.90682,17.88072,6000
21.44446,19.17303,18.12771,17.72247,17.46294,4382
21.4849,19.3618,18.45027,18.10136,17.89915,4576
20.32043,18.71893,18.11969,17.84651,17.65648,5126
19.39114,18.2644,17.80431,17.61591,17.53317,5665
21.95653,19.28162,17.84491,16.98122,16.49803,3980
19.98054,18.86545,18.41634,18.23488,18.19224,5651
22.02261,19.62279,18.27266,17.34523,16.85643,3690
19.58088,18.6053,18.25287,18.13219,18.09716,6000
20.10768,18.88761,18.42279,18.23988,18.12843,4738
20.71294,19.02439,18.24389,17.95486,17.7654,5059
20.73982,19.09727,18.4421,18.21598,18.07521,5059
21.41985,19.09052,18.07259,17.66166,17.41697,4382
20.34205,19.04832,18.50379,18.25175,18.1274,5257
22.70814,19.74442,18.31739,16.98892,16.24026,3717
19.71124,18.58628,18.11611,17.95362,17.88957,5405
21.87539,19.56496,18.34422,17.87596,17.54469,3962
19.84876,18.36912,17.813,17.64281,17.54125,5221
19.97346,18.33722,17.6724,17.43819,17.31308,5059
22.37175,19.98137,18.53354,17.21128,16.44382,3717
22.30784,19.91475,18.54536,17.82998,17.41489,3980
22.19579,19.61432,18.39458,17.94673,17.67566,4382
22.13443,19.72803,18.34932,17.495,16.96646,3690
21.44985,19.04136,17.93384,17.49895,17.23893,4382
22.93844,19.72941,18.359,17.51507,17.03127,3690
21.51484,19.02803,17.71497,17.14021,16.82071,3962
21.78278,19.45025,18.10835,16.97492,16.3541,3717
22.99115,20.00213,18.50652,17.50709,16.92937,3717
18.89615,17.97982,17.6329,17.51072,17.44162,6000
20.43088,18.67982,17.98775,17.71888,17.58139,5059
22.59314,19.54464,18.19921,17.54327,17.20505,3858
22.104,19.54818,18.18929,17.43948,17.04083,3980
21.65479,19.17028,17.82787,17.09053,16.68082,3980
20.34886,18.7708,18.18097,17.94279,17.83744,5221
21.92841,19.46579,18.1367,17.12275,16.60144,3717
19.70749,18.76829,18.48668,18.40445,18.38879,6000
19.48944,18.20896,17.75299,17.5898,17.51653,5476
19.67707,18.65805,18.25171,18.07029,18.02457,5720
21.9874,19.25438,17.8572,17.19335,16.82463,3858
21.43003,19.02019,17.86587,17.44999,17.15469,4382
21.34146,19.12438,18.22101,17.85945,17.64595,4576
22.95956,19.73435,18.21502,17.20768,16.65453,3717
19.64984,18.62985,18.34143,18.20256,18.16969,6500
21.89426,19.24982,17.81192,17.0413,16.64009,3980
19.74109,18.27327,17.70465,17.52355,17.42018,5426
19.8995,18.64655,18.03099,17.74638,17.57425,5047
18.9432,17.97989,17.7063,17.66186,17.57689,6000
22.02532,19.43843,18.01394,17.12927,16.57094,3705
19.93302,18.41611,17.81927,17.59535,17.50409,5221
22.11272,19.46029,18.37069,17.92427,17.66897,4382
19.70921,18.73994,18.40709,18.30199,18.19117,6000
20.20518,19.04038,18.55639,18.3167,18.19656,5704
22.34693,19.68341,18.24966,17.17068,16.59658,3717
21.48124,19.09824,17.7257,16.98738,16.58554,3858
19.315,18.22524,17.82553,17.69254,17.66803,5873
21.56643,19.50234,18.53852,18.22635,17.97316,4576
19.72971,18.43163,17.94523,17.79787,17.68904,5324
22.46644,19.47049,18.0449,17.26562,16.82582,3980
22.7342,19.65053,18.271,17.6351,17.25997,3858
21.72054,19.19983,17.8371,16.99551,16.53117,3690
20.93703,19.14316,18.37123,18.02899,17.81776,4576
22.15665,19.65147,18.23849,17.15379,16.56623,3717
20.30779,18.45609,17.81291,17.58197,17.49552,5169
19.9812,18.48652,17.94544,17.77443,17.64477,5320
20.92546,19.05011,18.29729,17.98514,17.76786,4955
21.9617,19.24674,17.82062,16.97966,16.49368,3980
22.59089,19.39517,18.03645,17.45531,17.08976,3962
20.03865,18.53248,17.94817,17.71701,17.59874,5285
22.14707,19.7314,18.40754,17.38452,16.84131,3717
21.21193,19.23954,18.25123,17.83756,17.59431,4576
20.63612,18.58137,17.75211,17.44387,17.24193,4576
20.98291,19.12822,18.3552,18.0852,17.92564,4955
19.60846,18.5739,18.2131,18.06236,17.99256,5651
21.94324,19.66375,18.2737,16.975,16.27299,3717
19.50037,18.48351,18.22823,18.1204,18.08995,6500
20.38301,19.02548,18.47834,18.22853,18.10265,5285
19.8336,18.67516,18.29338,18.16895,18.04933,5860
21.77556,19.36065,17.98261,16.93222,16.33808,3717
19.62899,18.29505,17.78134,17.57975,17.48264,5320
22.26947,19.78331,18.51675,17.93405,17.57712,3962
18.46335,17.46042,17.1501,16.99885,16.99362,6000
19.37291,18.37099,18.21387,18.19953,18.21347,7000
19.36192,18.33096,17.92405,17.72529,17.63055,6000
23.09501,20.92847,19.29308,17.989,17.30032,3717
19.43238,18.43505,18.06348,17.91399,17.85937,6000
18.09368,17.06715,16.69138,16.51198,16.40897,6000
19.05948,18.03857,17.98011,17.9773,17.98776,7500
17.47448,16.31458,15.90189,15.74428,15.70066,5762
19.22257,18.21669,17.85503,17.7213,17.70744,5790
16.45156,15.15664,15.31736,15.42417,15.51716,8500
25.71614,23.6542,22.17925,19.62595,18.14959,5820
18.12022,16.98325,16.55705,16.39526,16.38883,5630
18.47729,17.6312,17.29541,17.16132,17.14811,6000
20.0906,18.93718,18.89462,18.88131,18.94319,7368
17.54523,16.26778,16.40551,16.50194,16.56481,6500
17.53171,16.37471,16.00239,15.8768,15.83016,6038
19.03286,17.96299,17.96008,17.99092,18.0013,8500
22.29536,20.7292,20.16653,19.59638,19.23024,3820
21.20934,18.48364,17.27423,16.81676,16.57839,4382
17.37674,17.61303,18.08406,18.41848,18.75913,9500
18.5707,18.46066,18.77579,19.07857,19.32674,9000
20.84566,18.41924,17.10934,16.28362,15.80358,3980
21.10148,18.78361,17.4994,16.36557,15.72791,3717
17.28967,16.08729,15.67337,15.50181,15.43594,5651
20.78362,19.80212,19.22431,19.28634,19.19786,6000
20.09984,17.78812,16.81276,16.4355,16.16463,4528
18.7609,16.86823,15.85582,15.5517,15.18306,4353
19.14108,18.16244,17.9005,17.79593,17.8068,6500
19.05447,18.0872,17.72547,17.56929,17.53496,6000
20.05515,18.24214,17.7381,17.23988,16.98625,5059
20.21544,17.88041,17.01972,16.60104,16.28264,4896
18.80947,17.73512,17.37579,17.23481,17.18231,6000
18.51274,17.4422,17.06309,16.91083,16.85307,6000
18.8244,17.70213,17.29516,17.17097,17.15493,5890
17.10488,15.87494,15.41788,15.26017,15.15016,5762
20.40248,19.15227,19.00999,18.96867,18.99889,7000
22.39756,19.99443,18.27654,17.58279,17.17356,3858
20.77031,19.56971,19.01715,18.80582,19.08427,5405
20.08875,18.83566,18.76357,18.78765,18.80056,7235
19.49564,18.36682,17.69123,17.4963,17.41037,5720
17.67247,17.94761,18.4239,18.79442,19.14404,9500
16.24333,15.19536,15.05885,15.04163,15.07286,7500
18.73187,17.05409,16.39931,16.14745,16.01876,4804
19.43737,18.94416,18.94003,19.02729,19.11818,9000
20.1979,18.3799,17.63829,17.35837,17.2146,4955
19.38551,16.79182,15.54055,15.04593,14.77772,4246
18.26625,17.3119,17.03018,16.91933,16.90716,6500
20.18751,19.21918,18.95724,18.85347,18.80804,6000
19.01953,19.04308,19.34937,19.57126,19.87757,5000
19.12937,18.11154,17.94757,17.92561,17.94698,7500
23.46316,22.09751,20.32382,18.78257,18.04164,3690
15.35094,14.52804,14.1756,14.27607,14.33794,9899
17.48483,16.4677,16.10681,15.96881,15.8972,6000
17.40638,16.31527,15.93188,15.76507,15.73012,6000
19.80269,18.89851,18.63741,18.51721,18.47866,6500
17.34801,16.48561,16.73883,16.88164,17.04689,7500
20.27498,19.10385,18.85934,18.73997,18.73996,6500
19.21935,18.22322,17.87927,17.75885,17.71139,6000
19.64053,17.76943,16.98875,16.69996,16.53522,4955
17.79228,16.7612,16.57353,16.50228,16.53295,7000
18.58699,17.2394,16.65241,16.39674,16.27121,5506
20.37782,19.29817,19.08784,19.01526,19.02804,7134
20.51455,19.38564,19.23989,19.1419,19.06861,7000
17.65167,16.56189,16.11568,15.94325,15.84189,5966
20.26542,19.22729,18.99381,18.93052,18.88736,7000
20.35088,19.28943,18.92562,18.75332,18.72449,5734
18.22589,16.93194,17.04907,17.16754,17.26382,8500
19.33805,18.14945,17.73674,17.56914,17.48223,5651
23.85364,25.11374,20.49095,19.43253,18.81293,3980
17.66792,16.54077,16.12095,15.95075,15.87138,6000
19.0057,17.79974,17.60309,17.53292,17.52812,7500
24.70275,21.20349,19.78744,19.20959,18.83697,4382
19.11306,18.55645,18.58589,18.66686,18.86027,7652
19.06308,19.06081,19.40225,19.65617,19.89369,13582
18.09649,17.93367,18.26106,18.52955,18.83159,9000
19.01373,17.77024,17.23694,17.02894,16.92385,5720
20.19556,19.06225,18.91833,18.89766,18.89577,7500
17.80677,17.85883,18.22625,18.51434,18.86894,9000
18.2162,16.89609,16.35804,16.16603,16.05919,5576
19.37451,18.2658,17.82993,17.65936,17.58735,6000
22.38685,19.64057,18.11771,17.32166,16.86344,3858
18.32956,17.18949,17.06201,17.0579,17.07818,7500
18.55374,17.37389,16.83673,16.62825,16.49058,5762
20.87383,19.09778,18.62666,18.17102,18.03358,4955
21.51334,19.96402,19.22518,19.02788,18.8976,5169
17.98251,16.7841,16.33793,16.16242,16.10446,6000
23.31666,20.94368,19.27868,16.96908,15.7343,3717
19.63815,18.18615,17.5716,17.33718,17.20111,5285
18.20544,17.18272,16.79037,16.64072,16.5667,6000
25.135,22.18061,20.69915,20.04047,19.6272,3962
21.95913,19.46663,17.61845,16.97078,16.61576,4000
18.46263,17.42684,17.06524,16.92695,16.8586,6000
23.65407,19.97902,18.3626,17.75067,17.74661,3962
21.46496,19.81634,18.96957,18.38681,17.95655,4576
22.87205,20.88232,19.24107,17.72917,16.87051,3717
17.48079,16.18209,16.51004,15.30599,15.08292,5467
18.99165,17.70205,17.1147,16.855,16.72505,5152
24.6346,18.16501,17.86781,17.39421,16.90682,5132
18.14226,17.03362,16.5771,16.40281,16.32705,6000
19.68803,17.28001,16.23243,15.82691,15.63178,4246
19.46752,16.76382,15.33176,14.52126,14.04449,3980
26.07382,22.84496,20.66179,19.53822,18.70614,3980
16.40469,15.14878,15.26526,15.42548,15.49804,8500
18.09719,16.96806,16.57521,16.42757,16.38976,5704
17.35629,16.19057,16.2065,16.2536,16.3028,8500
18.66402,17.43252,17.64151,17.80368,17.88975,9500
17.8001,16.65279,16.29165,16.16712,16.12981,5873
17.42159,16.35319,16.19922,16.16917,16.18491,7000
17.9742,16.82341,16.39423,16.19718,16.11381,5257
18.58826,17.53902,17.38261,17.36972,17.39171,7000
25.17473,23.56915,22.41375,19.81355,18.21115,3717
18.86206,17.91412,17.6226,17.47196,17.44353,6000
16.90735,15.66904,15.37023,15.24956,15.22939,6000
19.05093,17.8245,17.55206,17.43086,17.38497,6500
20.94956,18.1204,16.7119,15.73851,15.28721,3717
19.55749,18.27571,17.83961,17.6996,17.63906,5630
19.54373,18.44641,18.48521,18.60029,18.69256,8500
18.55926,17.50872,17.1749,17.04848,17.00527,6000
20.42199,19.24891,18.96272,18.89059,18.82589,6000
19.33698,18.33342,18.02617,17.91697,17.86576,6000
20.28846,18.64186,18.02304,17.74693,17.64896,5704
19.05611,17.88282,17.47561,17.26594,17.1686,6000
19.44233,19.10727,19.25819,18.98629,18.46132,9000
20.12162,19.98412,20.30231,20.56035,20.70502,9000
19.03019,18.15309,17.86817,17.78547,17.77154,6500
20.63,18.1186,16.9886,16.5026,16.22216,4382
18.76431,17.83597,17.54986,17.47142,17.44588,6500
20.5786,19.45596,19.17777,19.09157,19.00414,7000
24.50067,25.31876,23.7403,20.80283,19.39086,4000
18.13523,16.87493,16.83852,16.86046,16.89678,7500
25.81954,23.80983,23.36751,20.72431,18.9372,5777
24.28546,23.30271,21.78827,19.29675,17.84101,3717
20.34616,19.15322,19.28942,19.42413,19.53372,9000
17.07466,16.22299,15.92393,15.80045,15.76355,6000
18.43164,17.37525,17.01571,16.89871,16.87161,5845
19.1376,19.45444,19.88374,20.10418,20.18806,9645
24.97174,23.64828,22.41518,20.04332,18.78604,4966
18.32825,17.2769,17.50356,17.72009,17.73651,9500
24.5007,24.98124,23.93017,21.28045,19.52039,3710
19.02454,18.06104,17.69123,17.53153,17.45414,6000
17.84885,16.65841,16.48163,16.42451,16.40577,6500
24.57392,24.96462,23.38238,20.48713,18.72282,3717
19.56346,19.16232,19.31888,19.51535,19.69678,9000
23.83919,24.51002,23.054,20.9228,19.43784,4204
18.1579,16.89799,16.44912,16.29668,16.25303,5630
17.29757,16.30735,15.94111,15.79886,15.74394,6000
18.11285,16.93735,16.53305,16.37644,16.31992,5891
18.41845,17.20482,16.74821,16.55936,16.49819,5651
19.39403,18.19158,17.90214,17.80668,17.7618,7000
23.00033,24.15128,22.41165,20.53078,19.30058,4404
21.20105,20.35739,19.95672,19.74415,19.66601,5000
23.94554,24.3877,23.25709,20.72989,19.38864,5820
19.05396,18.09664,17.8184,17.714,17.69739,6500
18.03774,17.00896,16.57208,16.36923,16.29741,5000
24.62141,21.1242,19.76208,18.7205,18.13861,3717
24.10591,24.68175,23.16655,20.98917,19.28951,3714
18.5002,16.29691,15.59107,18.52447,15.06793,4955
18.58613,17.74594,17.42393,17.31927,17.26857,6000
19.34583,18.37984,17.9932,17.90816,17.85621,6000
25.04423,21.80164,20.27303,19.07599,18.36785,3717
20.23936,19.16364,19.01867,19.03125,19.05249,7500
19.21291,17.9579,17.44871,17.23269,17.15375,5813
18.8283,17.64487,17.16545,16.97719,16.93707,5784
20.29029,19.93467,20.2684,20.53328,20.47799,7652
19.13681,18.54242,18.87249,19.1246,19.34508,7500
20.35742,19.25725,19.27655,19.32452,19.4479,8500
19.39672,18.26792,18.20847,18.20463,18.29971,8500
20.05621,19.86002,20.11008,20.3485,20.66483,9000
20.41605,19.20641,19.31185,19.43755,19.31199,7500
19.17766,17.95674,17.49499,17.32514,17.24203,5661
18.42942,17.37391,17.16127,17.08194,17.10048,7000
18.7746,17.64604,17.22892,17.07624,17.01672,5790
18.58258,17.63369,17.25319,17.11551,17.04676,6000
22.07953,20.66916,19.64183,19.08374,18.68372,3980
18.76111,17.7536,17.58573,17.5295,17.52057,7000
20.56926,19.14186,18.55069,18.34193,18.20186,5261
19.7943,17.99894,17.27522,17.19596,16.95751,5169
19.12476,18.09444,17.98259,17.94461,18.00469,7500
17.88993,16.74565,16.34473,16.20389,16.1486,5373
18.84043,18.71564,18.84358,18.89882,18.98155,11048
20.19175,19.74415,19.86048,19.98987,20.11658,9000
18.21599,17.09763,16.98454,16.97535,16.98902,7500
20.72569,19.04957,18.28345,17.98324,17.81082,5059
18.99014,17.74554,17.59859,17.55533,17.53339,7000
18.77789,17.51364,17.40811,17.3887,17.40093,7500
20.06233,18.85778,18.38106,18.16591,18.11465,5651
17.53517,16.49106,16.13605,15.99734,15.94575,6000
20.85039,18.90196,18.07504,17.75585,17.51156,4576
21.69752,19.08423,17.65266,16.61436,16.04611,3717
21.58344,19.95405,19.19521,19.09658,18.69594,5059
19.01043,17.73948,17.61465,17.59071,17.59571,7500
18.57402,17.02862,17.23617,16.02324,15.75955,5059
17.88896,16.73539,16.31881,16.16406,16.1014,5790
22.32708,21.23078,19.78827,18.9544,18.41411,3980
19.85931,18.84816,18.72733,18.73657,18.77104,7500
19.02908,17.92023,17.48712,17.18443,16.89641,5373
20.78885,19.73045,19.33022,19.02501,19.1433,5073
18.90597,17.722,17.25187,17.07416,16.99899,5661
20.27772,19.21096,19.11299,19.12521,19.07491,7500
19.00264,17.95834,17.51809,17.33115,17.24854,6000
18.66323,18.16603,18.22955,18.34753,18.53395,7652
18.39404,17.25887,17.14219,17.12547,17.14126,7500
18.99608,17.71108,17.20608,17.0215,16.94188,5474
17.89707,16.73584,16.31287,16.16833,16.11231,5932
23.07246,22.78281,21.44417,19.76588,18.81081,3717
21.52348,20.15141,19.49526,18.93439,18.48993,3690
17.38091,16.37796,15.98064,15.79529,15.70738,6500
24.62585,21.3418,19.28905,18.33681,17.78998,3980
19.83454,18.76052,18.43758,18.14199,18.0712,6000
24.26291,20.53193,19.36043,18.95436,18.71819,4704
19.66696,17.78396,17.0281,16.7311,16.55431,5059
19.76771,18.26121,17.65711,17.40245,17.27109,4966
18.84205,17.57321,17.04093,16.77852,16.62525,6000
20.83532,19.53034,19.29639,19.23772,19.06297,6500
19.9086,18.49189,17.89946,17.63193,17.46078,5613
18.17638,17.0854,16.58211,16.36629,16.22685,6000
18.87255,17.55543,17.35159,17.29855,17.22334,7500
20.61832,18.91469,18.19001,17.88177,17.66702,5059
23.68217,21.11209,19.82303,19.31153,18.97584,3962
18.37806,17.37004,17.03599,16.91456,16.85372,6500
23.44973,20.98271,19.5234,19.00159,18.26546,3858
20.69573,19.15838,18.44457,18.15306,17.97724,4955
19.62268,17.70754,16.89255,16.59431,16.3653,4576
18.77073,17.65083,17.50718,17.50013,17.51218,7500
25.11,25.05229,19.43199,24.71738,22.42706,3900
24.86076,21.82866,19.91105,19.14812,18.56603,3980
19.59425,18.51008,18.42208,18.43108,18.47887,7500
20.93812,19.83966,19.8591,19.86709,19.91077,8500
17.70402,16.49764,16.3352,16.29008,16.32096,7000
17.67699,16.57627,16.19392,16.04774,16.00898,5790
23.42841,23.7517,22.21984,19.9776,18.57657,5880
17.25297,16.28513,15.87637,15.70389,15.64403,6000
20.47306,20.43824,20.76457,20.96484,21.47045,7652
20.7783,20.45004,20.27562,20.32441,20.29219,4000
19.73844,18.69125,18.2764,18.09299,18.03859,5895
20.03536,17.86038,16.99222,16.67161,16.51633,4576
17.4107,16.43608,16.17066,16.05644,16.01919,6000
22.1389,25.3474,19.04274,18.88067,23.02502,5000
25.59733,24.9604,22.78868,20.73896,19.35246,5000
22.84792,20.08268,18.88214,18.47609,18.11253,4382
18.88364,17.72491,17.29921,17.12558,17.0458,5720
20.80202,20.44587,20.24365,20.08795,19.72002,4801
20.34703,20.05888,20.35684,20.55596,21.18891,7652
19.59058,19.798,20.33336,20.55558,20.62878,7354
24.41942,20.97162,19.54199,18.38303,17.80812,3717
19.69389,17.32115,16.3578,16.04995,15.89209,4528
18.70649,16.88952,16.0855,15.76243,15.58134,4955
19.44618,17.56463,16.81991,16.54522,16.40834,4955
20.39888,18.21456,17.34448,17.03463,16.87463,4576
17.14447,16.0507,15.65968,15.52547,15.49638,6000
19.54981,18.21736,17.67732,17.46971,17.41945,5506
20.64352,20.2844,20.46455,20.63473,20.45409,9000
18.94347,18.01561,17.7713,17.68763,17.67512,6500
25.47562,25.05272,23.34399,20.33592,18.60667,5455
20.36876,18.21988,17.41618,17.08999,16.91963,4727
20.23032,18.75015,18.12891,17.91373,17.80881,5059
20.29536,17.68391,16.48405,15.99816,15.70137,4246
17.03559,16.14138,15.78948,15.6656,15.64954,6000
23.15619,20.99199,20.04025,18.74466,18.22241,4576
18.19975,16.97635,16.52706,16.37185,16.29126,5630
18.68724,17.42542,17.12821,17.09115,16.9444,5474
20.45339,20.11713,20.36193,20.53963,20.65743,9000
24.43521,22.9939,21.14453,18.52903,16.79583,5000
22.91471,20.61807,19.36265,18.67969,18.17589,4955
19.69987,18.55027,18.2575,18.1654,18.12454,6000
19.97963,18.94925,18.78488,18.74109,18.7103,6500
18.07848,16.88301,16.35056,16.11681,15.9904,6000
18.08473,17.11228,16.80186,16.68356,16.66665,6000
24.34045,20.57069,18.91725,17.96576,17.30707,3690
21.35899,18.67158,17.20215,16.32846,15.84124,3980
16.87484,15.62678,15.50549,15.4867,15.47924,6500
17.3564,16.32842,16.02446,15.89722,15.84473,6000
18.51023,17.31599,17.35955,17.4543,17.57734,8500
20.23665,19.93793,20.16723,20.4109,20.68724,9500
20.69378,20.42916,20.66496,21.05479,20.9012,9500
25.76849,24.07148,21.99078,20.08614,18.66094,3717
24.55202,24.95243,22.99193,20.20613,18.56175,3717
19.49443,19.51044,19.76941,19.94058,20.11153,5000
17.89905,16.98527,16.67772,16.57214,16.53663,6000
25.12907,22.96948,21.59544,20.21371,19.46124,3710
16.71506,15.70419,15.97022,16.15915,16.30052,9500
17.07326,16.76511,16.93977,16.6385,16.14216,9000
19.42468,18.51719,18.22074,18.10054,18.08039,6000
19.0378,18.08124,17.7476,17.63688,17.5968,6000
18.1242,16.30088,15.65349,15.44488,15.34665,5139
17.87327,16.72084,16.43023,16.31835,16.28162,6500
16.42802,15.17558,15.30331,15.42485,15.47741,7852
24.20366,23.41332,22.26027,19.60478,18.03419,5820
20.16266,18.96643,18.97173,18.99623,19.08132,8500
16.99458,15.71407,15.89305,16.03573,16.11359,8500
17.76029,16.58889,16.43169,16.39398,16.40761,7000
17.23737,16.00006,16.19611,16.34286,16.41411,8500
18.69831,18.23559,18.31221,18.44277,18.61752,7652
23.5931,21.50327,20.96877,22.07568,21.01753,5132
16.54033,15.41927,15.3839,15.327,15.32039,7000
19.2662,19.1109,19.43521,19.65988,19.95775,9000
17.13719,16.74248,16.82277,17.03565,17.34696,9000
19.83404,18.81432,18.73194,18.78168,18.8244,7500
23.2575,20.38482,18.93563,17.98384,17.49871,3690
25.47122,21.76168,20.79251,19.18908,18.32603,3717
18.96364,18.07073,17.76582,17.67048,17.65418,6000
18.33877,17.07975,17.09679,17.14891,17.15527,7500
16.71901,15.6227,15.37785,15.28545,15.30024,6500
17.89556,16.7786,16.35495,16.16582,16.12268,5651
17.78433,16.63628,16.22339,16.06079,16.01843,5720
17.45106,16.42891,16.29927,16.25263,16.2889,7000
17.44285,16.18158,16.37482,16.53842,16.63473,9500
20.25208,19.2273,19.13152,19.08908,19.21754,7500
16.92612,15.73617,15.27673,15.12612,15.07593,5630
18.35183,18.46617,18.78216,19.0376,19.2598,5000
19.44953,18.32255,17.92862,17.75422,17.70119,5860
22.4551,19.92444,18.40142,17.14788,16.45302,3717
22.29517,19.66849,18.42006,17.94753,17.67775,3890
21.60091,19.16467,17.77285,16.97407,16.51725,3980
21.69904,19.1529,17.76709,17.02522,16.62527,3858
21.82778,19.66443,18.24917,16.85485,16.06662,3717
22.35349,19.76395,18.55746,18.06362,17.80096,3962
20.26555,18.83349,18.2547,18.01456,17.9356,5630
21.46125,19.2781,18.1695,17.70946,17.44574,4382
20.4833,18.63458,17.88063,17.56701,17.36499,4955
21.61707,19.18923,17.85583,17.29,16.9166,3962
21.80204,19.20203,18.09012,17.68242,17.47934,4382
19.43133,18.46779,18.16451,18.01475,18.04155,6000
20.85067,18.94843,18.23314,17.97407,17.83836,4955
22.24168,19.81014,18.3814,17.35241,16.80736,3717
21.12121,18.91844,17.6978,17.21238,16.91236,4382
21.67739,19.07655,17.69856,16.70802,16.15714,3717
19.5417,18.65072,18.32845,18.20431,18.13731,6000
22.17076,19.64464,18.15163,17.08851,16.50788,3717
21.8197,19.25775,17.80773,16.8584,16.36426,3705
21.88885,19.49673,18.09135,17.45391,17.09956,3900
21.11267,19.22491,18.50219,18.17151,18.02544,4955
21.23929,18.94575,18.03193,17.70728,17.48062,4576
