u,g,r,i,z,Teff
25.17151,22.54563,20.89816,19.87771,19.30861,3690
19.2428,18.15261,17.73896,17.57965,17.4893,5790
23.37236,20.45634,19.03411,18.42357,18.44763,4382
20.2135,19.09905,18.96124,18.94537,18.99385,7500
17.96716,16.8582,16.49776,16.34852,16.30215,6000
18.50003,17.24703,17.22732,17.24711,17.28606,7000
18.91452,17.8755,17.78611,17.79306,17.83422,7500
20.23946,19.21169,19.0903,19.09329,19.18728,7500
20.0783,19.15906,19.00298,18.97465,19.01297,6808
19.84402,18.12074,17.19477,16.96967,16.73331,5651
18.22017,17.08461,16.97809,16.96489,16.99841,7500
18.17975,17.03661,16.62679,16.47348,16.42721,5621
19.95205,19.81438,20.06785,20.4364,20.67054,9000
20.15725,19.21421,18.94345,18.84787,18.80722,6000
19.64395,18.71848,18.50842,18.43307,18.46238,7000
19.79231,18.71778,18.57996,18.55451,18.57279,7500
20.22252,18.97054,19.02218,19.09694,19.18351,9500
20.50224,20.33775,20.49353,20.72418,20.61263,7652
18.84483,17.83063,17.46642,17.32321,17.23405,6000
17.64894,16.58388,16.22972,16.10134,16.06104,6000
19.56989,18.54183,18.36042,18.28927,18.25508,7000
22.29276,25.29392,24.69377,23.45332,21.65777,5880
19.1002,18.05327,17.72587,17.61504,17.55536,6000
20.62076,19.16264,18.58983,18.35603,18.8349,5285
18.02317,17.05527,16.84201,16.77244,16.79004,7000
18.73916,18.5613,18.62313,18.76871,18.97412,5856
18.72531,17.54394,17.04801,16.88687,16.78905,5630
20.25339,18.96535,19.0446,19.15457,19.19667,8500
19.79271,19.71474,19.90666,20.13346,20.32722,5260
18.011,16.85921,16.45752,16.28586,16.24621,5790
17.79439,16.70793,16.49356,16.45081,16.49115,7000
18.57913,17.50842,17.10566,16.99047,16.96561,5790
19.47993,18.35295,18.32375,18.38778,18.43109,8500
17.59927,16.43448,16.45133,16.51562,16.57196,8500
20.3395,19.22285,19.20791,19.22887,19.38492,8500
20.49743,19.49413,19.36971,19.34748,19.32748,7118
17.98418,16.77784,16.69854,16.6956,16.73523,7500
23.1892,20.37305,19.11619,18.76556,18.51064,4382
17.28922,16.07422,16.08768,16.15649,16.22438,8500
20.2414,19.07542,18.608,18.42896,18.29883,5476
21.26486,20.23667,19.75811,19.53955,19.48022,5443
22.55492,20.44441,19.97863,19.78304,19.63512,6000
19.16742,18.25288,17.98792,17.89307,17.88557,6500
